序号,对应名称,开始页数,题目数,状态
1,练习1.qa.csv,P2,0,完成
2,练习2.qa.csv,P6,8,完成
3,练习3.qa.csv,P10,12,完成
4,练习4.qa.csv,P15,7,完成
5,练习5.qa.csv,P20,9,完成
6,练习6.qa.csv,P24-25,13,完成
7,练习7.qa.csv,P31-32,13,完成
8,练习8.qa.csv,P35-36,9,完成
9,练习9.qa.csv,P36-40,13,完成
10,练习10.qa.csv,P42,4,完成
11,练习11.qa.csv,P46-47,10,完成
12,练习12.qa.csv,P50-51,12,完成
13,练习13.qa.csv,P54-55,10,完成
14,练习14.qa.csv,P57-58,13,完成
15,练习15.qa.csv,P62-63,11,完成
16,练习16.qa.csv,P65-66,14,完成
17,练习17.qa.csv,P70-71,12,完成
18,练习18.qa.csv,P74-75,11,完成
19,练习19.qa.csv,P77-78,10,完成
20,练习20.qa.csv,P80-81,0,完成
21,练习21.qa.csv,P84-85,0,完成
22,练习22.qa.csv,P87,3,完成
23,练习23.qa.csv,P90-91,11,完成
24,练习24.qa.csv,P94-95,10,完成
25,练习25.qa.csv,P99-100,10,完成
26,练习26.qa.csv,P107-109,9,完成
27,练习27.qa.csv,P112-113,6,完成
28,练习28.qa.csv,P117-120,18,完成
