问题,答案
1.在深度卷积神经网络中，什么是结构化剪枝？,结构化剪枝通过移除整个滤波器来降低参数数量。它适合硬件实现，能实现实际加速和压缩。
2.在神经网络剪枝中，为什么结构化剪枝适合硬件实现？,结构化剪枝通过移除整个滤波器，生成的模型更适合硬件实现，有助于实现实际的加速和效率提升。
3.结构化剪枝与非结构化剪枝有什么区别？,结构化剪枝移除整个滤波器，保持模型整体结构；非结构化剪枝移除单个权重，导致不规则模型结构，不适合硬件实现。
4.在深度学习中，CNNs和Transformer模型有何关系？,将CNNs的架构融入Transformer模型趋势逐渐增加。CNNs的引导偏差，如局部性和权重共享，有助于Transformer模型的性能改进。
5.为何在Transformer模型中引入CNNs架构？,引入CNNs的架构可为Transformer引入局部性和权重共享等引导偏差，提升模型泛化性能，尤其在处理序列数据方面。
6.什么是滤波器规范（Filter Norm）？,滤波器规范是一种用于衡量滤波器重要性的指标，通过计算滤波器的p范数来评估其重要性，其中p可以是1或2范数，分别对应曼哈顿范数和欧几里德范数。
7.什么是通道剪枝（Channel Pruning）？,通道剪枝是一种基于当前层的激活映射来指导滤波器剪枝的方法，它通过最小化稀疏激活映射的重构误差来确定要剪枝的通道。
8.DropNet中采用的是什么指标来衡量滤波器重要性？,在DropNet中，采用的是激活映射的平均幅值作为衡量指标，通过比较非零激活值的平均幅值来评估滤波器的重要性。
9.ThiNet中的主要思想是什么？,ThiNet的主要思想是通过用第 l 层的激活映射的子集来逼近第 l+1 层的激活映射，从而指导当前层的剪枝，以达到剪枝的目的。
10.什么是神经元重要性分数传播（NISP）？,神经元重要性分数传播是一种基于最终响应层（FRL）的方法，通过在所有前一层传播的重构误差来确定神经元的重要性，从而指导剪枝决策。
11.CHIP中的通道独立性是如何确定的？,CHIP使用交叉通道相关性来确定通道的独立性，通道的独立性越大，其重要性就越高，通过测量激活映射的核范数变化来确定通道的重要性。
12.对于激活映射，APoZ是如何衡量通道的重要性的？,APoZ利用激活函数（如ReLU）后的激活映射中零的平均百分比来衡量通道的重要性，较小的APoZ值意味着激活映射的大部分部分被激活，因此这些激活映射对最终结果的贡献更大。
13.在AOFP中，如何避免使用启发式重要性度量？,AOFP引入了损伤隔离的概念，通过将第 l 层剪枝引起的损伤与第 l+1 层隔离，从而避免使用启发式重要性度量。这有助于更精确地指导剪枝。
14.RED++相对于RED有什么变化？,相对于RED，RED++将第三步的操作由不均匀的深度分离技术替换为了一种输入分离技术，以消除冗余操作，如乘法和加法，从而更有效地进行剪枝。
15.基于核心集的压缩（CBC）如何评估滤波器的重要性？,CBC使用训练集上激活范数的均值来评估滤波器的重要性，然后使用二分搜索找到满足精度约束的最小数量的滤波器。后续介绍了基于核心集的压缩技术。
16.CP方法如何解决滤波器剪枝的问题？,CP方法将滤波器剪枝建模为一个优化问题，通过固定权重来解决LASSO回归，然后通过微调权重来最小化稀疏激活映射的重构误差，从而确定要剪枝的通道。
17.什么是FPGM中的“几何中值”方法？,FPGM中的“几何中值”方法是一种发现冗余滤波器的方法，通过利用同一层中多个滤波器之间的关系，找到接近几何中值的滤波器，认为这些滤波器是冗余的，可以剪枝。
18.如何在COP中评估滤波器的重要性？,COP通过比较跨层滤波器的重要性来评估滤波器的重要性。首先，COP进行Pearson相关性测试来确定层内滤波器的冗余性。然后，使用层内最大归一化来排名滤波器，并加入一个代价感知的正则化项。
19.SRR如何利用结构冗余减少滤波器的数量？,SRR利用结构冗余来减少滤波器的数量，不同于在所有层中剪枝排名最低的滤波器。首先，它将每一层的滤波器建立为一个图，通过关联属性（商空间大小和`-覆盖数）来评估图的冗余性。具有较大值的属性表明图较复杂，冗余性较低。在最冗余的层内，应用滤波器规范来剪枝最不重要的滤波器。最后，重新建立图，重新评估各层的冗余性。
20.在COP方法中，如何比较跨层滤波器的重要性？,COP方法通过首先进行Pearson相关性测试来比较跨层滤波器的重要性。然后，使用层内最大归一化来解决相关性重要性度量的尺度效应，以便在不同层之间对滤波器进行排名，最终形成一个全局的滤波器重要性度量。
21.什么是HRank方法的主要思想？,HRank方法的主要思想是利用来自一小组输入数据的当前层激活映射的平均排名作为滤波器的重要性度量。不同输入数据产生的激活映射具有相同的平均排名，然后使用奇异值分解（SVD）来确定平均排名，进而提出了一种层内的剪枝算法。
22.为什么AOFP方法不需要启发式重要性度量？,AOFP方法采用损伤隔离的概念，将损伤隔离到下一层，从而避免了使用启发式重要性度量。这意味着剪枝时不需要先验的启发式知识，而是根据激活映射的重构误差来指导剪枝决策。
23.RED方法与RED++方法的差异是什么？,相对于RED方法，RED++方法在第三步中采用了一种不均匀的输入分离技术，以便更有效地进行剪枝。这种改变可以降低数学运算对性能的影响，因为与内存分配相比，数学运算更具瓶颈效应。
24.NISP方法的优点是什么？,NISP方法的优点在于考虑了重构误差的传播，通过使用最终响应层（FRL）来确定神经元重要性，使得前面各层的重构误差都能传播到最终的剪枝决策，更全面地指导剪枝。
25.在FPGM方法中，为什么会认为接近几何中值的滤波器是冗余的？,FPGM方法认为接近几何中值的滤波器是冗余的，因为它们代表了同一层中所有滤波器共享的公共信息。这些冗余滤波器可以被剪枝掉，而不会显著影响性能。
