question,answer
YOLO模型的功能是什么？,实现高速物体检测
PP-YOLOE与PP-YOLOv2相比主要有哪些变化？,无锚、新的主干和颈部、任务对齐学习（TAL）、高效任务对齐头（ET-head）、变焦和分布焦点损失。
PP-YOLOv2在PP-YOLO方面的变化有哪些？,主干网从ResNet50更改为ResNet101、路径聚合网络（PAN）代替FPN、Mish激活功能、更大的输入尺寸、修改后的IoU感知分支。
YOLOv3与YOLOv2相比有哪些变化？,边框预测、类别预测、新的骨干网络、空间金字塔池化（SPP）多尺度预测
PP-YOLO采用了哪些增强和预处理技术？,混合训练、随机色彩失真、随机拓展、随机裁剪和随机翻转的概率为0.5
YOLOv8提供了哪些缩放版本？,YOLOv8n、YOLOv8s、YOLOv8m、YOLOv8l、YOLOv8x。
DAMO—YOLO包括哪些内容？,神经架构搜索、大脖子、一个小脑袋、AlignedOTA标签分配、知识提炼。
YOLOv7对比YOLOv4在参数和计算量上有什么变化？,YOLOv7减少了75%的参数和36%的计算量。
YOLOv6的主要创新点是什么？,基于RepVGG的新骨干网、使用任务对齐学习方法进行标签分配、新的分类和回归损失、自我修正策略
YOLOv7的架构主要有哪些变化？,扩展高效层聚合网络、基于串联模型的模型缩放
物体检测中的骨干网络负责什么任务？,负责从输入图像中提取有用的特征。
YOLOv7的免费赠品包括哪些？,计划的重新参数化卷积、辅助头的粗略标签分配和引线头的精细标签分配、conv-bn-activation中的批量归一化、隐性知识、指数移动平均数
YOLOX相对于YOLOv3的变化是什么？,无锚、多重阳性、解耦头部、高级标签分配、强增强
Scaled-YOLOv4对比YOLOv4的新颖之处在于哪里？,引入了放大和缩小技术
缩减和扩展后的YOLOv4的框架分别称为什么？,YOLOv4-tiny和YOLOv4-large
YOLOv4的只要变化有哪些？,带有特殊包集成的增强型架构、为高级训练方法整合“bag-of-freebies”、自我对抗训练、利用遗传算法优化超参数
物体检测器由哪几个部分组成？,主干、颈部和头部
YOLOv3除了架构更大之外还有什么基本特征？,多尺度预测，即以多种网格尺寸进行预测。
非最大抑制（NMS）有什么作用？,NMS用于减少重叠边界框的数量，提高整体预测质量。
YOLOv3由多少个卷积层组成？,由53个卷积层组成，每个卷积层都有批量归一化和Leaky ReLU激活功能。
YOLOv2比最初的YOLO有哪些改进？,批量归一化、高分辨率分类器、全卷积架构、使用锚点框预测边界框、维度集群、直接位置预测、细粒度特征多尺度训练
YOLO局限性的主要原因是什么？,它最多只能检测到网格单元中的两个同类物体、在预测训练数据中未出现过的长宽比物体时显得力不从心、由于采用了向下采样层它可以从粗略的物体特征中学习。
YOLOv1的架构包括哪些？,包括24个卷积层，之后是两个预测边界框坐标和概率的全连接层。
AP是如何工作的？,AP度量基于精确召回度量，处理多个对象类别，并定义积极的使用并集上的交集（IoU）进行预测。
YOLOv3的架构主干有哪些升级？,它用分步卷积取代了所有最大池化层，并增加了残次连接。
